date,cost_usd_high,cost_usd_avg,cost_usd_median,cost_usd_low,tx_count
2024-06-04,972.1775733000001,0.024004497922875997,0.0019927683996758994,0.00082255,58842330
2024-06-05,1091.4758662499999,0.029295196732284534,0.00189091844565023,0.0008573500000000001,59100700
2024-06-06,1893.634848,0.04389044732064073,0.002070056925763925,0.0008405,59964510
2024-06-07,4433.78085265,0.04565619574119196,0.0021916481068865673,0.0007910500000000001,57088179
2024-06-08,720.8283964,0.037503332715359015,0.0019138686681010172,0.0007889,55080335
2024-06-09,1948.0808117,0.030061611880349344,0.001915496942180497,0.00078605,55853912
2024-06-10,1937.64080735,0.03359262403300354,0.0017591200102198225,0.0007902,60352182
2024-06-11,1575.63077641044,0.03247372820551384,0.0017895638655138092,0.0007300000000000001,57657927
2024-06-12,17530.24877705,0.039630348991654185,0.001767618502684523,0.00072975,55642273
2024-06-13,11069.25073795,0.03618021453854807,0.001796734853519522,0.0007317000000000001,59404972
2024-06-14,1853.64700435,0.024480546893566334,0.0015718115325645636,0.00070195,58930497
2024-06-15,1479.61274604358,0.017446015217310405,0.001324137651173997,0.0007162500000000001,60073236
2024-06-16,1669.91696145,0.01852626677732022,0.0012161422155627937,0.0007172000000000001,59706123
2024-06-17,6416.2690210499995,0.03194180852958735,0.0013115125384849373,0.0007032500000000001,59771730
2024-06-18,1532.82668675,0.030974772189415363,0.001197089811195129,0.0006557500000000001,53177272
2024-06-19,1538.38866,0.02947823629035847,0.0012890730748760376,0.0006744499999999999,57783128
2024-06-20,2312.9506925,0.028096732018574024,0.00132266044496563,0.00066175,57776519
2024-06-21,5295.59440665,0.02422951672568258,0.0012363363213891657,0.0006452500000000001,61636090
2024-06-22,1475.5043521500002,0.01818931392679369,0.0012756054821009642,0.0006671,61863935
2024-06-23,2506.6846850728,0.016269465209879753,0.001167452274811186,0.0006433000000000001,63217232
2024-06-24,3352.7311977568897,0.019427345822370944,0.0012303010087063421,0.00061995,60815412
2024-06-25,803.6410857,0.019091023811364207,0.0012692996387901514,0.0006574500000000001,61510843
2024-06-26,5490.00068625,0.02148539260520245,0.001274771860240513,0.00067615,68202497
2024-06-27,3157.82676985104,0.04109238722256072,0.0012924056980434646,0.0006779000000000002,63238755
2024-06-28,2000.66742083469,0.02596552128836299,0.00123270955701951,0.0006985,64020824
2024-06-29,5954.7607089,0.01780092713495332,0.0012773995946939035,0.0006994000000000001,67079360
2024-06-30,3138.7386575500004,0.018602684313264145,0.001245891133122445,0.0006867500000000001,64658855
2024-07-01,4586.5181168482295,0.024530900542461917,0.0013532257136063164,0.0007301000000000001,65198677
2024-07-02,8971.7087642,0.02126558744605985,0.001272767293508147,0.0007315000000000002,67305523
2024-07-03,6940.5232246848,0.02652953540529529,0.001132721208319026,0.00069925,62553607
2024-07-04,1010.1006734,0.017127834132590704,0.0008995749496526907,0.0006402000000000001,60108114
2024-07-05,1514.3707309499998,0.01735185329721026,0.0008909462692959115,0.00061295,58927854
2024-07-06,2014.7974242146101,0.01843532726622142,0.0009654537559412561,0.00066405,62943906
2024-07-07,5856.74846970015,0.019273950112251297,0.0010211244310329166,0.0006604000000000001,64086821
2024-07-08,4487.2763223,0.02020426378340834,0.0011809487276259192,0.00064435,64880352
2024-07-09,11425.4647132,0.01900809169887991,0.0011664456399959084,0.0006843000000000001,68720694
2024-07-10,4947.9507167459005,0.01560802989884805,0.0012005864458375741,0.0006949,72999561
2024-07-11,2115.6007150728,0.01688105805815503,0.0011755374613177853,0.0006804000000000002,74296126
2024-07-12,7046.26570713804,0.018400527188486372,0.0010489376696716849,0.0006716500000000001,71421001
2024-07-13,4195.20069947968,0.018153095730783584,0.0010121639357606215,0.0006914000000000001,74084567
2024-07-14,1570.49855855,0.023218799938498437,0.0010219116017014386,0.0007099,69789664
2024-07-15,3184.6008071368697,0.029886154357995635,0.0011019176472565869,0.000736,68907495
2024-07-16,3231.20081797828,0.026371914078162095,0.0013160112555768045,0.00076515,70979528
2024-07-17,8644.9007921872,0.02524741094977206,0.001612520635750113,0.0007751500000000001,67013682
