network,date,fee_token,gwei_high,gwei_avg,gwei_median,gwei_low,cost_usd_high,cost_usd_avg,cost_usd_median,cost_usd_low,tx_count
Arbitrum One,2025-03-22,ETH,0.014036,0.010053607967409735,0.01,0.01,0.0018162883093513892,0.001300958294244757,0.001294021309027778,0.0012940213090277778,1420938
Base,2025-03-22,ETH,1425.011577905,0.024715098369263055,0.00346794798767853,0.001695344,184.39953601280288,0.0032445409561378145,0.0004877468718986738,0.00021946884878494568,7610390
Optimism,2025-03-22,ETH,30.000000099,0.007343629859637795,0.0005096349583272697,0.000169465,3.882085154342978,0.0010009332292525333,9.00132249658549e-05,2.2164013078034193e-05,1465580
Polygon PoS,2025-03-22,POL,42879386.989906915,63.436128996156064,33.647505955652434,25.000000021,585.4840526440258,0.0008661700760195448,0.0004594792692857623,0.0003413551908249328,3001238
zkSync Era,2025-03-22,ETH,15.0,0.07341766398986063,0.04525,0.04525,1.9410319635416668,0.009500402166193609,0.005855446423350693,0.0058554464233506924,66993
Arbitrum One,2025-03-23,ETH,0.024106,0.010091660552348542,0.01,0.01,0.0031419303850774294,0.0013153279235599855,0.0013033810607638882,0.001303381060763888,1444043
Base,2025-03-23,ETH,2203.398834775,0.030850222109622804,0.0032068376390829018,0.001330652,287.18683319785305,0.004025086107632049,0.0004235582190776452,0.00017346028804352424,7249498
Optimism,2025-03-23,ETH,298.68699068,0.011026988189561056,0.0002309223122724634,5.4486e-05,38.93029827367087,0.001447134694186573,4.0893448151920646e-05,7.2201089774715055e-06,1057368
Polygon PoS,2025-03-23,POL,248958.012735396,49.57075300232578,32.68290882998097,25.00000002,3.424279704086135,0.000681818277536371,0.00044959401390661717,0.00034386116650772763,2979697
zkSync Era,2025-03-23,ETH,6.5,0.0516517154451791,0.04525,0.04525,0.8471976894965276,0.0067321867667160685,0.005897799299956596,0.005897799299956594,83084
Arbitrum One,2025-03-24,ETH,0.120699,0.01275762335536424,0.01,0.01,0.01621230403396094,0.0017136054862752971,0.0013432011892361114,0.001343201189236111,1938732
Base,2025-03-24,ETH,3656.160044862,0.06040006693253267,0.003631208892198843,0.001475473,491.09585309148235,0.008119789035457774,0.0004941724162122814,0.000198291928805568,7197677
Optimism,2025-03-24,ETH,462.783379239,0.013604207721430615,0.0002883596808966263,8.0771e-05,62.16114647743434,0.001845396510254059,5.582977662648059e-05,1.1067968969523099e-05,1148547
Polygon PoS,2025-03-24,POL,4789900.168857143,57.45069479806207,32.25018344274901,25.000000021,67.84961138420641,0.0008137971937588933,0.0004571656699617209,0.00035412852590510684,3318348
zkSync Era,2025-03-24,ETH,6.5,0.051966925335607324,0.04525,0.04525,0.8730807730034724,0.006980203591176542,0.006077985381293404,0.006077985381293402,75762
Arbitrum One,2025-03-25,ETH,0.059812,0.01232285999833503,0.01,0.01,0.008034974010393053,0.001655417973322421,0.0013433715659722219,0.0013433715659722217,1927120
Base,2025-03-25,ETH,7128.752375068,0.059452057059007135,0.003912781271352841,0.001999835,957.6563292129109,0.00799232712447137,0.0005311525273021125,0.0002686766055540058,6903330
Optimism,2025-03-25,ETH,146.307239244,0.011839913994997094,0.0002941335567151954,0.000102322,19.65452174364434,0.0016044842773507136,5.30016105236295e-05,1.3934260215790851e-05,1069180
Polygon PoS,2025-03-25,POL,527832.642309558,50.63623479416196,32.15985298432913,25.000000024,7.658536241580384,0.0007347015099547152,0.00046602285403996566,0.00036273506198017006,3181782
zkSync Era,2025-03-25,ETH,31.0,0.05183416066659564,0.04525,0.04525,4.164451854513889,0.0069632537585515315,0.006078756336024306,0.006078756336024304,64655
Arbitrum One,2025-03-26,ETH,0.17144,0.015224787700715427,0.01,0.01,0.022757372086763886,0.0020209761936953213,0.0013274248767361108,0.0013274248767361104,1983921
Base,2025-03-26,ETH,1927.997443866,0.04903920534660324,0.002943836929069879,0.001347652,255.92718912340555,0.006518681820378654,0.0003997739979617342,0.0001792027191456618,6804832
Optimism,2025-03-26,ETH,109.409672345,0.013540207546357997,0.0004001047528027015,5.211e-05,14.523315211609962,0.0018164937547387027,8.710682802183911e-05,7.099787804194544e-06,1057530
Polygon PoS,2025-03-26,POL,1376004.337624012,70.0777089221761,36.666466649873044,25.000000025,21.196368878570663,0.0010794973008910974,0.0005643493030464466,0.00038510723258996843,3473412
zkSync Era,2025-03-26,ETH,6.5,0.05174896562427716,0.04525,0.04525,0.8628261698784724,0.006869286431505176,0.006006597567230903,0.006006597567230902,69646
Arbitrum One,2025-03-27,ETH,0.092507,0.012355041245497049,0.01,0.01,0.012139038737529164,0.0016212645992508413,0.0013122292083333328,0.0013122292083333326,2035325
Base,2025-03-27,ETH,3985.97771841,0.0462342368387468,0.003057337388375442,0.00117644,523.051649073556,0.006077210218536589,0.00041271548708333853,0.00015452264863044887,6957059
Optimism,2025-03-27,ETH,34.951173074,0.017364512744252818,0.0003059263206299051,7.1662e-05,4.58640410860284,0.0023001885577647254,6.653496311818676e-05,9.546593193090786e-06,1147883
Polygon PoS,2025-03-27,POL,526191.824296579,55.26026790062515,33.294191100219045,25.000000022,8.04139464144541,0.0008445011907491403,0.000510243066402043,0.0003820562329750985,3141984
zkSync Era,2025-03-27,ETH,8.0,0.0522226838793994,0.04525,0.04525,1.0497833666666665,0.006852813112416263,0.005937837167708333,0.005937837167708331,68264
Arbitrum One,2025-03-28,ETH,1.089104,0.025998415797907237,0.010000018380130302,0.01,0.13581345570570555,0.0032420546544564962,0.0012470202424650736,0.0012470200798611107,2138979
Base,2025-03-28,ETH,2513.779762937,0.06083068838504137,0.0027938906979005696,0.001162077,313.47342791365855,0.007831550109019845,0.00045109507253334705,0.00014695182597903914,7059591
Optimism,2025-03-28,ETH,317.416426355,0.019811598104077486,0.00034551451353096374,5.5985e-05,39.58252596125334,0.0027735981374463004,0.00019088774850364596,7.203496557190605e-06,986631
Polygon PoS,2025-03-28,POL,1607068.537170704,71.75501472314538,37.373362916817754,25.000000027,22.504051472409095,0.0010047975598950025,0.0005246711833119899,0.0003500792121836412,3371221
zkSync Era,2025-03-28,ETH,6.5,0.07603025930863769,0.04525,0.04525,0.8105630519097222,0.009481126003480268,0.005642765861371527,0.005642765861371525,82427
Arbitrum One,2025-03-29,ETH,0.807291,0.02953752827896494,0.010000000025527707,0.01,0.09770043166999377,0.003574707587870387,0.0012102257175443786,0.0012102257013888887,2353304
Base,2025-03-29,ETH,2570.061823802,0.043642240077532146,0.002737105021998508,0.001329876,311.03549026530715,0.005301542210983841,0.00034005366475980134,0.00016116721867759533,6776553
Optimism,2025-03-29,ETH,47.098753821,0.014183763386609583,0.00047353923813134167,5.111e-05,5.700015641083157,0.001748515140748965,8.282637965718539e-05,6.430244707956633e-06,972971
Polygon PoS,2025-03-29,POL,1904808.804938338,62.03525251507806,33.84755820202741,25.000000022,25.4106152431555,0.0008275654381089624,0.0004506678643958969,0.00033350611357473524,3310612
zkSync Era,2025-03-29,ETH,6.5,0.054910896755892544,0.04525,0.04525,0.7866467059027775,0.006645457854029635,0.0054762712987847205,0.00547627129878472,71088
Arbitrum One,2025-03-30,ETH,0.401671,0.02015357289101917,0.01,0.01,0.047744597613217005,0.0023955531471049197,0.0011886493576388887,0.0011886493576388885,2033570
Base,2025-03-30,ETH,24322.451261558,0.054657765863896285,0.0024699112840270813,0.000901639,2891.086614522937,0.006500679824306121,0.0002974272022449539,0.00010725527074351511,6896911
Optimism,2025-03-30,ETH,173.217352979,0.012421877333647689,0.0008622007475017207,0.00014234,20.589471037634354,0.0014859069247510368,0.00010394443869194062,1.7087316825663958e-05,1082444
Polygon PoS,2025-03-30,POL,619253.055855084,59.391025171849996,32.498124597886516,25.000000021,8.234273647089472,0.0007897287689132302,0.00043231989253163467,0.00033242765522715584,3161585
zkSync Era,2025-03-30,ETH,6.5,0.0543080466980304,0.04525,0.04525,0.7726220824652777,0.0064553224822154675,0.005378638343315972,0.005378638343315971,71580
Arbitrum One,2025-03-31,ETH,0.20893,0.021425671901924622,0.010310759619788676,0.01,0.024690560974421866,0.002532005257802234,0.001224833700113935,0.0011817623593749994,2527159
Base,2025-03-31,ETH,3403.892884064,0.059588860445176,0.0026785335212087106,0.000955061,402.2596767645871,0.007295518992893617,0.00038379515100786033,0.00011580381803613836,7471159
Optimism,2025-03-31,ETH,192.658671175,0.018778655329515108,0.001240641310357837,0.000135151,22.767710044287064,0.002526917256861867,0.00018972142983034938,1.6197028021899614e-05,993648
Polygon PoS,2025-03-31,POL,4273760.112084373,76.67343129070778,38.28357175321694,0.005363186,56.64611764532479,0.0010162601772812055,0.0005088232481408468,7.108580199687191e-08,3400327
zkSync Era,2025-03-31,ETH,30.0,0.05519497689282896,0.04525,0.04525,3.545287078124999,0.006522734611850963,0.005347474676171873,0.005347474676171872,77494
Arbitrum One,2025-04-01,ETH,0.381968,0.019626732523976526,0.010000000200688449,0.01,0.04659647128283334,0.0023942751184101675,0.0012199056904162822,0.0012199051041666665,2108989
Base,2025-04-01,ETH,10799.019449034,0.06596102798436279,0.002461966583584631,0.000976856,1317.3782837254043,0.008809901605151313,0.00036235247725410405,0.00011928442429088883,6651133
Optimism,2025-04-01,ETH,115.117757446,0.019395751020974766,0.0006196916429399037,1.9261e-05,14.04327626281807,0.0035094645070934054,0.00016015823476621169,4.1801378967722105e-06,870764
Polygon PoS,2025-04-01,POL,369682.249698294,77.61224072194568,45.05019598099815,25.000000026,4.889640135974608,0.0010265462504263272,0.0005966278657714407,0.0003306650606737528,3486411
zkSync Era,2025-04-01,ETH,6.5,0.052879996297862164,0.04525,0.04525,0.7929383177083336,0.006450857739197699,0.005520070596354168,0.005520070596354166,69608
Arbitrum One,2025-04-02,ETH,2.690844,0.08506174136214327,0.01072247490253858,0.01,0.3281508382163916,0.010373355619328086,0.0013173059857628764,0.0012195089652777772,2594222
