Date,Price,Open,High,Low,Vol.,Change %
1/30/2024,2.2968,2.272,2.2995,2.2071,14.13K,1.42%
1/31/2024,2.4631,2.5015,2.5146,2.4517,29.13K,7.24%
2/1/2024,2.4256,2.4752,2.487,2.397,39.92K,-1.52%
2/2/2024,2.3803,2.4298,2.4417,2.3593,34.58K,-1.87%
2/5/2024,2.4285,2.3748,2.4307,2.3697,28.79K,2.02%
2/6/2024,2.4453,2.4247,2.4541,2.4215,29.83K,0.69%
2/7/2024,2.4826,2.4471,2.4898,2.439,38.08K,1.53%
2/8/2024,2.5576,2.4946,2.5599,2.4857,43.79K,3.02%
2/9/2024,2.5687,2.56,2.577,2.5439,34.79K,0.43%
2/12/2024,2.5912,2.5612,2.5971,2.5502,37.23K,0.88%
2/13/2024,2.6196,2.5921,2.6329,2.5831,36.82K,1.10%
2/14/2024,2.5522,2.6273,2.6335,2.5452,34.90K,-2.57%
2/15/2024,2.5652,2.5369,2.5863,2.508,30.98K,0.51%
2/16/2024,2.5783,2.5581,2.5794,2.524,30.00K,0.51%
2/19/2024,2.5631,2.5658,2.5669,2.5466,3.57K,-0.59%
2/20/2024,2.5086,2.5586,2.5586,2.5054,24.91K,-2.13%
2/21/2024,2.5308,2.524,2.5405,2.503,19.32K,0.88%
2/22/2024,2.5675,2.543,2.5685,2.496,19.17K,1.45%
2/23/2024,2.5093,2.5515,2.557,2.5018,24.62K,-2.27%
2/26/2024,2.5572,2.4934,2.5797,2.492,19.58K,1.91%
2/27/2024,2.5944,2.5627,2.5975,2.5613,13.69K,1.45%
2/28/2024,2.5512,2.5882,2.601,2.5354,12.51K,-1.67%
2/29/2024,2.5711,2.5262,2.5855,2.5262,24.30K,0.78%
3/1/2024,2.6047,2.5706,2.6264,2.5635,24.93K,1.31%
3/4/2024,2.5769,2.5997,2.612,2.5664,19.97K,-1.07%
3/5/2024,2.5227,2.5757,2.5809,2.5127,24.32K,-2.10%
3/6/2024,2.5446,2.5213,2.5766,2.5213,27.31K,0.87%
3/7/2024,2.5466,2.538,2.572,2.5168,25.49K,0.08%
3/8/2024,2.5214,2.5615,2.5679,2.5096,22.00K,-0.99%
3/11/2024,2.5724,2.5088,2.581,2.5041,32.14K,2.02%
3/12/2024,2.5779,2.5705,2.5928,2.5456,35.69K,0.21%
3/13/2024,2.6534,2.5889,2.6577,2.583,37.18K,2.93%
3/14/2024,2.6926,2.654,2.6941,2.6464,30.73K,1.48%
3/15/2024,2.7068,2.6846,2.7093,2.6702,34.98K,0.53%
3/18/2024,2.7454,2.697,2.7516,2.697,26.65K,1.43%
3/19/2024,2.7489,2.7305,2.754,2.7228,16.03K,0.13%
3/20/2024,2.7193,2.7308,2.733,2.6963,23.34K,-1.08%
3/21/2024,2.7122,2.7221,2.7323,2.6856,21.41K,-0.26%
3/22/2024,2.717,2.695,2.7307,2.6926,25.08K,0.18%
3/25/2024,2.7284,2.7233,2.743,2.704,18.39K,0.42%
3/26/2024,2.6853,2.7316,2.7335,2.6765,23.07K,-1.58%
3/27/2024,2.6719,2.6767,2.6906,2.6595,20.86K,-0.50%
3/28/2024,2.6885,2.6496,2.6913,2.642,48.22K,0.62%
4/1/2024,2.681,2.6799,2.6941,2.6561,39.07K,-0.28%
4/2/2024,2.7263,2.6865,2.7409,2.6842,50.94K,1.69%
4/3/2024,2.7344,2.7392,2.7575,2.724,42.21K,0.30%
4/4/2024,2.7678,2.7352,2.7783,2.7155,35.69K,1.22%
4/5/2024,2.7657,2.7691,2.7869,2.7509,45.71K,-0.08%
4/8/2024,2.7295,2.7135,2.761,2.7114,38.73K,-1.31%
4/9/2024,2.7302,2.7341,2.7527,2.7178,37.29K,0.03%
4/10/2024,2.7569,2.7256,2.7646,2.7078,38.23K,0.98%
4/11/2024,2.7485,2.7595,2.7802,2.7282,29.95K,-0.30%
4/12/2024,2.7761,2.7714,2.8229,2.761,32.69K,1.00%
4/15/2024,2.7597,2.7715,2.7795,2.7199,34.12K,-0.59%
4/16/2024,2.7911,2.7745,2.7923,2.7541,33.75K,1.14%
4/17/2024,2.6992,2.7908,2.7908,2.6944,38.88K,-3.29%
4/18/2024,2.6846,2.7053,2.7135,2.665,28.76K,-0.54%
4/19/2024,2.6834,2.7174,2.7525,2.6594,28.91K,-0.04%
4/22/2024,2.663,2.6862,2.6878,2.6409,25.20K,-0.76%
4/23/2024,2.7011,2.671,2.7042,2.6257,28.37K,1.43%
4/24/2024,2.7087,2.7016,2.7156,2.6886,30.76K,0.28%
4/25/2024,2.7333,2.712,2.7414,2.687,26.92K,0.91%
4/26/2024,2.744,2.7435,2.7542,2.7263,21.10K,0.39%
4/29/2024,2.7309,2.7343,2.76,2.722,15.66K,-0.48%
4/30/2024,2.6541,2.6944,2.7,2.6268,32.20K,-2.81%
5/1/2024,2.5451,2.6252,2.6422,2.5425,46.06K,-4.11%
5/2/2024,2.5618,2.5434,2.5717,2.5361,40.20K,0.66%
5/3/2024,2.5265,2.5739,2.59,2.5204,40.54K,-1.38%
5/6/2024,2.5564,2.5258,2.5608,2.5224,35.45K,1.18%
5/7/2024,2.5183,2.5617,2.5617,2.5045,39.73K,-1.49%
5/8/2024,2.5095,2.5114,2.5181,2.46,40.82K,-0.35%
5/9/2024,2.5218,2.5189,2.5401,2.5108,26.29K,0.49%
5/10/2024,2.485,2.5338,2.5451,2.4827,37.86K,-1.46%
5/13/2024,2.4967,2.484,2.5176,2.4803,45.62K,0.47%
5/14/2024,2.4515,2.4999,2.5025,2.4441,30.70K,-1.81%
5/15/2024,2.4861,2.4633,2.492,2.4326,37.80K,1.41%
5/16/2024,2.5238,2.4955,2.5283,2.4904,47.00K,1.52%
