rank,name,slug,url,skynet_score,price_usd,market_cap,trading_volume,tvl_usd,governance_score,security_incident_count,is_exit_scam,has_3rd_party_audit,audit_count,platforms
500,Soldex,soldex,https://skynet.certik.com/projects/soldex,"{'rank': 7657, 'percentile': 0.4142455961194792, 'includedCategories': ['code', 'governance', 'community', 'market', 'operation', 'fundamental'], 'score': 62.74, 'scoreCodeSecurity': 47.9, 'scoreCommunity': 55, 'scoreFundamental': 79.5, 'scoreGovernance': 32.74, 'scoreMarket': 74.86, 'scoreOperation': 60.3}",,,,,,,,False,0,Solana
501,Mate,mate,https://skynet.certik.com/projects/mate,"{'rank': 7662, 'percentile': 0.4145008935409752, 'includedCategories': ['code', 'governance', 'community', 'market', 'operation', 'fundamental'], 'score': 62.73, 'scoreCodeSecurity': 73.58, 'scoreCommunity': 43.32, 'scoreFundamental': 49.02, 'scoreGovernance': 56.87, 'scoreMarket': 71.2, 'scoreOperation': 68.3}",0.0005212460562687306,1407,125.3631820678711,,,,,True,1,BSC
502,MANE,mane,https://skynet.certik.com/projects/mane,"{'rank': 7665, 'percentile': 0.41480725044677047, 'includedCategories': ['code', 'governance', 'community', 'market', 'operation', 'fundamental'], 'score': 62.72, 'scoreCodeSecurity': 64.92, 'scoreCommunity': 43.32, 'scoreFundamental': 49.41, 'scoreGovernance': 59.58, 'scoreMarket': 74.31, 'scoreOperation': 72.72}",,,,,,,,True,1,Ethereum
503,StarkDeFi,starkdefi,https://skynet.certik.com/projects/starkdefi,"{'rank': 7675, 'percentile': 0.4152667858054634, 'includedCategories': ['code', 'community', 'market', 'operation', 'fundamental'], 'score': 62.71, 'scoreCodeSecurity': 33.95, 'scoreCommunity': 50.75, 'scoreFundamental': 55.1, 'scoreGovernance': None, 'scoreMarket': 90.41, 'scoreOperation': 64.3}",,,87366,,,,,False,0,Starknet
504,RabbitX,rabbitx,https://skynet.certik.com/projects/rabbitx,"{'rank': 7682, 'percentile': 0.41562420219555785, 'includedCategories': ['code', 'governance', 'community', 'market', 'operation', 'fundamental'], 'score': 62.7, 'scoreCodeSecurity': 53.5, 'scoreCommunity': 43.32, 'scoreFundamental': 49.88, 'scoreGovernance': 86.38, 'scoreMarket': 76.88, 'scoreOperation': 59.92}",,,,,,,,False,0,Ethereum
505,FinToken,fintoken,https://skynet.certik.com/projects/fintoken,"{'rank': 7701, 'percentile': 0.4167475108501404, 'includedCategories': ['code', 'governance', 'community', 'operation', 'fundamental'], 'score': 62.66, 'scoreCodeSecurity': 79.03, 'scoreCommunity': 55, 'scoreFundamental': 49.12, 'scoreGovernance': 60.64, 'scoreMarket': None, 'scoreOperation': 66.7}",,,,,,,,False,1,BSC|Ethereum|Tron
506,RBX,rbx,https://skynet.certik.com/projects/rbx,"{'rank': 7734, 'percentile': 0.4184835333163135, 'includedCategories': ['code', 'governance', 'community', 'operation', 'fundamental'], 'score': 62.61, 'scoreCodeSecurity': 72.44, 'scoreCommunity': 49.52, 'scoreFundamental': 49.55, 'scoreGovernance': 72.38, 'scoreMarket': None, 'scoreOperation': 72.38}",,,,,,,,True,2,Ethereum
507,Bee Trade Finance,beetradefinance,https://skynet.certik.com/projects/beetradefinance,"{'rank': 7736, 'percentile': 0.41863671176921113, 'includedCategories': ['code', 'governance', 'community', 'operation', 'fundamental'], 'score': 62.6, 'scoreCodeSecurity': 77.52, 'scoreCommunity': 53.24, 'scoreFundamental': 49.91, 'scoreGovernance': 60.57, 'scoreMarket': None, 'scoreOperation': 69.5}",,,,,,,,False,1,Avalanche
508,HeHe,hehe,https://skynet.certik.com/projects/hehe,"{'rank': 7737, 'percentile': 0.41863671176921113, 'includedCategories': ['code', 'governance', 'community', 'operation', 'fundamental'], 'score': 62.6, 'scoreCodeSecurity': 76.72, 'scoreCommunity': 43.32, 'scoreFundamental': 49.05, 'scoreGovernance': 70.96, 'scoreMarket': None, 'scoreOperation': 72.38}",,,,,,,,False,1,Ethereum|BSC|Arbitrum|Polygon|Fantom|Avalanche|Optimism|Harmony
509,Modex,modex,https://skynet.certik.com/projects/modex,"{'rank': 7743, 'percentile': 0.41909624712790405, 'includedCategories': ['code', 'governance', 'community', 'market', 'operation', 'fundamental'], 'score': 62.59, 'scoreCodeSecurity': 46.38, 'scoreCommunity': 87.9, 'scoreFundamental': 79.5, 'scoreGovernance': 75.88, 'scoreMarket': 45.87, 'scoreOperation': 72.72}",,,19.62,,,,,False,0,Ethereum
